Transaction_ID,Date,Product_Category,Product_Name,Units_Sold,Unit_Price,Total_Revenue,Region,Payment_Method
10109.00,2024-04-18,Electronics,Google Nest Hub Max,2.00,229.99,459.98,North America,Credit Card
10110.00,2024-04-19,Home Appliances,Cuisinart Griddler Deluxe,1.00,159.99,159.99,Europe,PayPal
10111.00,2024-04-20,Clothing,Old Navy Relaxed-Fit T-Shirt,4.00,14.99,59.96,Asia,Debit Card
10112.00,2024-04-21,Books,Sapiens: A Brief History of Humankind by Yuval Noah Harari,2.00,18.99,37.98,North America,Credit Card
10113.00,2024-04-22,Beauty Products,Biore UV Aqua Rich Watery Essence Sunscreen,1.00,15.00,15.00,Europe,PayPal
10114.00,2024-04-23,Sports,Fitbit Versa 3,3.00,229.95,689.85,Asia,Credit Card
10115.00,2024-04-24,Electronics,Amazon Echo Show 10,1.00,249.99,249.99,North America,Credit Card
10116.00,2024-04-25,Home Appliances,Breville Smart Grill,2.00,299.95,599.90,Europe,PayPal
10117.00,2024-04-26,Clothing,Gap High Rise Skinny Jeans,3.00,49.99,149.97,Asia,Debit Card
10118.00,2024-04-27,Books,Atomic Habits by James Clear,4.00,16.99,67.96,North America,Credit Card
10119.00,2024-04-28,Beauty Products,CeraVe Hydrating Facial Cleanser,2.00,14.99,29.98,Europe,PayPal
10120.00,2024-04-29,Sports,YETI Hopper Flip Portable Cooler,1.00,249.99,249.99,Asia,Credit Card
10121.00,2024-04-30,Electronics,Apple iPad Air,2.00,599.99,1199.98,North America,Credit Card
10122.00,2024-05-01,Home Appliances,Hamilton Beach FlexBrew Coffee Maker,1.00,89.99,89.99,Europe,PayPal
10123.00,2024-05-02,Clothing,Forever 21 Graphic Tee,5.00,12.99,64.95,Asia,Debit Card
10124.00,2024-05-03,Books,The Subtle Art of Not Giving a F*ck by Mark Manson,3.00,14.99,44.97,North America,Credit Card
10125.00,2024-05-04,Beauty Products,NARS Radiant Creamy Concealer,1.00,30.00,30.00,Europe,PayPal
10126.00,2024-05-05,Sports,Yeti Roadie 24 Cooler,1.00,199.99,199.99,Asia,Credit Card
10127.00,2024-05-06,Electronics,Sony PlayStation 5,1.00,499.99,499.99,North America,Credit Card
10128.00,2024-05-07,Home Appliances,Dyson Supersonic Hair Dryer,2.00,399.99,799.98,Europe,PayPal
10129.00,2024-05-08,Clothing,Lululemon Align Leggings,3.00,98.00,294.00,Asia,Debit Card
10130.00,2024-05-09,Books,The Four Agreements by Don Miguel Ruiz,2.00,8.99,17.98,North America,Credit Card
10131.00,2024-05-10,Beauty Products,Fenty Beauty Killawatt Highlighter,1.00,36.00,36.00,Europe,PayPal
10132.00,2024-05-11,Sports,Hydro Flask Wide Mouth Water Bottle,4.00,39.95,159.80,Asia,Credit Card
10133.00,2024-05-12,Electronics,Microsoft Surface Laptop 4,1.00,1299.99,1299.99,North America,Credit Card
10134.00,2024-05-13,Home Appliances,Keurig K-Mini Coffee Maker,2.00,79.99,159.98,Europe,PayPal
10135.00,2024-05-14,Clothing,Gap Crewneck Sweatshirt,4.00,34.99,139.96,Asia,Debit Card
10136.00,2024-05-15,Books,Think and Grow Rich by Napoleon Hill,3.00,9.99,29.97,North America,Credit Card
10137.00,2024-05-16,Beauty Products,The Ordinary Hyaluronic Acid Serum,1.00,6.80,6.80,Europe,PayPal
10138.00,2024-05-17,Sports,Fitbit Inspire 2,2.00,99.95,199.90,Asia,Credit Card
10139.00,2024-05-18,Electronics,Samsung Odyssey G9 Gaming Monitor,1.00,1499.99,1499.99,North America,Credit Card
10140.00,2024-05-19,Home Appliances,Instant Pot Ultra,1.00,139.99,139.99,Europe,PayPal
10141.00,2024-05-20,Clothing,Adidas Essential Track Pants,3.00,44.99,134.97,Asia,Debit Card
10142.00,2024-05-21,Books,The Power of Habit by Charles Duhigg,2.00,11.99,23.98,North America,Credit Card
10143.00,2024-05-22,Beauty Products,Clinique Dramatically Different Moisturizing Lotion,1.00,29.50,29.50,Europe,PayPal
10144.00,2024-05-23,Sports,YETI Tundra 45 Cooler,1.00,299.99,299.99,Asia,Credit Card
10145.00,2024-05-24,Electronics,Apple AirPods Max,1.00,549.00,549.00,North America,Credit Card
10146.00,2024-05-25,Home Appliances,Cuisinart Coffee Center,2.00,199.95,399.90,Europe,PayPal
10147.00,2024-05-26,Clothing,Levi's Sherpa Trucker Jacket,2.00,98.00,196.00,Asia,Debit Card
10148.00,2024-05-27,Books,The Outsiders by S.E. Hinton,3.00,10.99,32.97,North America,Credit Card
10149.00,2024-05-28,Beauty Products,Laneige Water Sleeping Mask,1.00,25.00,25.00,Europe,PayPal
10150.00,2024-05-29,Sports,Bose SoundSport Wireless Earbuds,2.00,149.99,299.98,Asia,Credit Card
10151.00,2024-05-30,Electronics,Sony WH-1000XM4 Headphones,1.00,349.99,349.99,North America,Credit Card
10152.00,2024-05-31,Home Appliances,Ninja Foodi Pressure Cooker,2.00,199.99,399.98,Europe,PayPal
10153.00,2024-06-01,Clothing,Nike Sportswear Club Fleece Hoodie,3.00,54.99,164.97,Asia,Debit Card
10154.00,2024-06-02,Books,The Night Circus by Erin Morgenstern,2.00,16.99,33.98,North America,Credit Card
10155.00,2024-06-03,Beauty Products,GlamGlow Supermud Clearing Treatment,1.00,59.00,59.00,Europe,PayPal
10156.00,2024-06-04,Sports,Garmin Forerunner 245,1.00,299.99,299.99,Asia,Credit Card
10157.00,2024-06-05,Electronics,Google Pixel 6 Pro,1.00,899.99,899.99,North America,Credit Card
10158.00,2024-06-06,Home Appliances,Breville Nespresso Creatista Plus,1.00,499.95,499.95,Europe,PayPal
10159.00,2024-06-07,Clothing,Under Armour Tech 2.0 T-Shirt,4.00,24.99,99.96,Asia,Debit Card
10160.00,2024-06-08,Books,The Art of War by Sun Tzu,3.00,7.99,23.97,North America,Credit Card
10161.00,2024-06-09,Beauty Products,Youth to the People Superfood Antioxidant Cleanser,1.00,36.00,36.00,Europe,PayPal
10162.00,2024-06-10,Sports,TriggerPoint GRID Foam Roller,2.00,34.99,69.98,Asia,Credit Card
10163.00,2024-06-11,Electronics,Apple MacBook Air,1.00,1199.99,1199.99,North America,Credit Card
10164.00,2024-06-12,Home Appliances,Cuisinart Custom 14-Cup Food Processor,1.00,199.99,199.99,Europe,PayPal
10165.00,2024-06-13,Clothing,Adidas 3-Stripes Shorts,5.00,29.99,149.95,Asia,Debit Card
10166.00,2024-06-14,Books,The Hunger Games by Suzanne Collins,4.00,8.99,35.96,North America,Credit Card
10167.00,2024-06-15,Beauty Products,Neutrogena Hydro Boost Water Gel,1.00,16.99,16.99,Europe,PayPal
10168.00,2024-06-16,Sports,Yeti Rambler Bottle,3.00,49.99,149.97,Asia,Credit Card
10169.00,2024-06-17,Electronics,Samsung Odyssey G7 Gaming Monitor,1.00,699.99,699.99,North America,Credit Card
10170.00,2024-06-18,Home Appliances,Instant Pot Duo Evo Plus,2.00,139.99,279.98,Europe,PayPal
10171.00,2024-06-19,Clothing,Nike Tempo Running Shorts,3.00,34.99,104.97,Asia,Debit Card
10172.00,2024-06-20,Books,The Girl with the Dragon Tattoo by Stieg Larsson,2.00,9.99,19.98,North America,Credit Card
10173.00,2024-06-21,Beauty Products,Paula's Choice Skin Perfecting 2% BHA Liquid Exfoliant,1.00,29.50,29.50,Europe,PayPal
10174.00,2024-06-22,Sports,Bowflex SelectTech 1090 Adjustable Dumbbells,1.00,699.99,699.99,Asia,Credit Card
10175.00,2024-06-23,Electronics,Amazon Fire TV Stick 4K,3.00,49.99,149.97,North America,Credit Card
10176.00,2024-06-24,Home Appliances,Crock-Pot 6-Quart Slow Cooker,2.00,49.99,99.98,Europe,PayPal
10177.00,2024-06-25,Clothing,Uniqlo Airism Mesh Boxer Briefs,4.00,14.90,59.60,Asia,Debit Card
10178.00,2024-06-26,Books,The Sun Also Rises by Ernest Hemingway,3.00,11.99,35.97,North America,Credit Card
10179.00,2024-06-27,Beauty Products,First Aid Beauty Ultra Repair Cream,2.00,34.00,68.00,Europe,PayPal
10180.00,2024-06-28,Sports,Oakley Holbrook Sunglasses,1.00,146.00,146.00,Asia,Credit Card
10181.00,2024-06-29,Electronics,Google Pixelbook Go,1.00,649.99,649.99,North America,Credit Card
10182.00,2024-06-30,Home Appliances,Dyson V8 Absolute,1.00,399.99,399.99,Europe,PayPal
10183.00,2024-07-01,Clothing,Levi's 511 Slim Fit Jeans,3.00,59.99,179.97,Asia,Debit Card
10184.00,2024-07-02,Books,The Martian by Andy Weir,2.00,12.99,25.98,North America,Credit Card
10185.00,2024-07-03,Beauty Products,La Mer Crème de la Mer Moisturizer,1.00,190.00,190.00,Europe,PayPal
10186.00,2024-07-04,Sports,Polar Vantage V2,1.00,499.95,499.95,Asia,Credit Card
10187.00,2024-07-05,Electronics,Sonos Beam Soundbar,1.00,399.00,399.00,North America,Credit Card
10188.00,2024-07-06,Home Appliances,Anova Precision Cooker,2.00,199.00,398.00,Europe,PayPal
10189.00,2024-07-07,Clothing,Nike Dri-FIT Training Shorts,4.00,34.99,139.96,Asia,Debit Card
10190.00,2024-07-08,Books,The Catcher in the Rye by J.D. Salinger,3.00,10.99,32.97,North America,Credit Card
10191.00,2024-07-09,Beauty Products,Glossier Cloud Paint,1.00,18.00,18.00,Europe,PayPal
10192.00,2024-07-10,Sports,TRX All-in-One Suspension Training System,1.00,169.95,169.95,Asia,Credit Card
10193.00,2024-07-11,Electronics,Logitech G Pro X Wireless Gaming Headset,1.00,199.99,199.99,North America,Credit Card
10194.00,2024-07-12,Home Appliances,Breville Smart Coffee Grinder Pro,1.00,199.95,199.95,Europe,PayPal
10195.00,2024-07-13,Clothing,Adidas Ultraboost Running Shoes,2.00,179.99,359.98,Asia,Debit Card
10196.00,2024-07-14,Books,The Road by Cormac McCarthy,2.00,11.99,23.98,North America,Credit Card
10197.00,2024-07-15,Beauty Products,Tom Ford Black Orchid Perfume,1.00,125.00,125.00,Europe,PayPal
10198.00,2024-07-16,Sports,GoPro HERO9 Black,1.00,449.99,449.99,Asia,Credit Card
10199.00,2024-07-17,Electronics,Apple TV 4K,2.00,179.00,358.00,North America,Credit Card
10200.00,2024-07-18,Home Appliances,Instant Pot Duo Nova,1.00,99.95,99.95,Europe,PayPal
10201.00,2024-07-19,Clothing,Gap 1969 Original Fit Jeans,3.00,59.99,179.97,Asia,Debit Card
10202.00,2024-07-20,Books,The Goldfinch by Donna Tartt,2.00,14.99,29.98,North America,Credit Card
10203.00,2024-07-21,Beauty Products,Dr. Jart+ Cicapair Tiger Grass Color Correcting Treatment,1.00,52.00,52.00,Europe,PayPal
10204.00,2024-07-22,Sports,Yeti Tundra Haul Portable Wheeled Cooler,1.00,399.99,399.99,Asia,Credit Card
10205.00,2024-07-23,Electronics,Samsung Galaxy Watch 4,1.00,299.99,299.99,North America,Credit Card
10206.00,2024-07-24,Home Appliances,KitchenAid Stand Mixer,1.00,379.99,379.99,Europe,PayPal
10207.00,2024-07-25,Clothing,Lululemon Wunder Under High-Rise Leggings,2.00,98.00,196.00,Asia,Debit Card
10208.00,2024-07-26,Books,The Great Alone by Kristin Hannah,3.00,16.99,50.97,North America,Credit Card
10209.00,2024-07-27,Beauty Products,Caudalie Vinoperfect Radiance Serum,1.00,79.00,79.00,Europe,PayPal
10210.00,2024-07-28,Sports,Bose SoundLink Color Bluetooth Speaker II,1.00,129.00,129.00,Asia,Credit Card
10211.00,2024-07-29,Electronics,Canon EOS Rebel T7i DSLR Camera,1.00,749.99,749.99,North America,Credit Card
10212.00,2024-07-30,Home Appliances,Keurig K-Elite Coffee Maker,2.00,169.99,339.98,Europe,PayPal
10213.00,2024-07-31,Clothing,Uniqlo Airism Seamless Boxer Briefs,4.00,9.90,39.60,Asia,Debit Card
10214.00,2024-08-01,Books,The Girl with the Dragon Tattoo by Stieg Larsson,3.00,10.99,32.97,North America,Credit Card
10215.00,2024-08-02,Beauty Products,L'Occitane Shea Butter Hand Cream,2.00,29.00,58.00,Europe,PayPal
10216.00,2024-08-03,Sports,YETI Tundra 65 Cooler,1.00,349.99,349.99,Asia,Credit Card
10217.00,2024-08-04,Electronics,Apple MacBook Pro 16-inch,1.00,2399.00,2399.00,North America,Credit Card
10218.00,2024-08-05,Home Appliances,iRobot Braava Jet M6,1.00,449.99,449.99,Europe,PayPal
10219.00,2024-08-06,Clothing,Champion Reverse Weave Hoodie,3.00,49.99,149.97,Asia,Debit Card
10220.00,2024-08-07,Books,The Nightingale by Kristin Hannah,2.00,12.99,25.98,North America,Credit Card
10221.00,2024-08-08,Beauty Products,Tarte Shape Tape Concealer,1.00,27.00,27.00,Europe,PayPal
10222.00,2024-08-09,Sports,Garmin Forerunner 945,1.00,599.99,599.99,Asia,Credit Card
10223.00,2024-08-10,Electronics,Amazon Echo Dot (4th Gen),4.00,49.99,199.96,North America,Credit Card
10224.00,2024-08-11,Home Appliances,Philips Sonicare DiamondClean Toothbrush,2.00,229.99,459.98,Europe,PayPal
10225.00,2024-08-12,Clothing,Old Navy Mid-Rise Rockstar Super Skinny Jeans,2.00,44.99,89.98,Asia,Debit Card
10226.00,2024-08-13,Books,The Silent Patient by Alex Michaelides,3.00,26.99,80.97,North America,Credit Card
10227.00,2024-08-14,Beauty Products,The Ordinary Caffeine Solution 5% + EGCG,1.00,6.70,6.70,Europe,PayPal
10228.00,2024-08-15,Sports,Fitbit Luxe,2.00,149.95,299.90,Asia,Credit Card
10229.00,2024-08-16,Electronics,Google Nest Wifi Router,1.00,169.00,169.00,North America,Credit Card
10230.00,2024-08-17,Home Appliances,Anova Precision Oven,1.00,599.00,599.00,Europe,PayPal
10231.00,2024-08-18,Clothing,Adidas Originals Trefoil Hoodie,4.00,64.99,259.96,Asia,Debit Card
10232.00,2024-08-19,Books,Dune by Frank Herbert,2.00,9.99,19.98,North America,Credit Card
10233.00,2024-08-20,Beauty Products,Fresh Sugar Lip Treatment,1.00,24.00,24.00,Europe,PayPal
10234.00,2024-08-21,Sports,Hydro Flask Standard Mouth Water Bottle,3.00,32.95,98.85,Asia,Credit Card
10235.00,2024-08-22,Electronics,Bose QuietComfort 35 II Wireless Headphones,1.00,299.00,299.00,North America,Credit Card
10236.00,2024-08-23,Home Appliances,Nespresso Vertuo Next Coffee and Espresso Maker,1.00,159.99,159.99,Europe,PayPal
10237.00,2024-08-24,Clothing,Nike Air Force 1 Sneakers,3.00,90.00,270.00,Asia,Debit Card
10238.00,2024-08-25,Books,The Handmaid's Tale by Margaret Atwood,3.00,10.99,32.97,North America,Credit Card
10239.00,2024-08-26,Beauty Products,Sunday Riley Luna Sleeping Night Oil,1.00,55.00,55.00,Europe,PayPal
10240.00,2024-08-27,Sports,Yeti Rambler 20 oz Tumbler,2.00,29.99,59.98,Asia,Credit Card
